StartTime,Band,CellId,PL_00,PL_01,PL_02,PL_03,PL_04,PL_05,PL_06,PL_07,PL_08,PL_09,PL_10,PL_11,PL_12,PL_13,PL_14,PL_15,PL_16,PL_17,PL_18,PL_19,PL_20
2020-08-01 01:45:00,2600,20,0.0,0.0,0.0,0.0,0.0,5.0,112.0,1072.0,1357.0,672.0,275.0,464.0,315.0,233.0,117.0,0.0,30.0,30.0,0.0,1.0,0.0
2020-08-01 01:45:00,1800,21,0.0,0.0,0.0,0.0,0.0,2.0,405.0,3469.0,4416.0,11920.0,3932.0,1783.0,7909.0,8061.0,7545.0,2327.0,1336.0,1767.0,1395.0,214.0,43.0
2020-08-01 01:45:00,800,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,543.0,26.0,14.0,7.0,238.0,1805.0,156.0,4060.0,157.0,600.0,104.0
2020-08-01 01:45:00,1800,24,0.0,0.0,0.0,0.0,0.0,0.0,23.0,224.0,715.0,6068.0,11152.0,4006.0,1611.0,442.0,188.0,186.0,273.0,629.0,450.0,145.0,61.0
2020-08-01 02:00:00,2600,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,528.0,493.0,257.0,135.0,87.0,84.0,80.0,0.0,0.0,0.0
2020-08-01 02:00:00,1800,21,0.0,0.0,0.0,0.0,1.0,186.0,939.0,4808.0,1710.0,3253.0,3845.0,5095.0,5396.0,6729.0,10803.0,2946.0,1770.0,1205.0,1476.0,189.0,15.0
2020-08-01 02:00:00,800,22,0.0,0.0,0.0,0.0,0.0,19.0,11.0,0.0,2.0,0.0,39.0,52.0,35.0,19.0,91.0,1697.0,203.0,3712.0,197.0,3833.0,909.0
2020-08-01 02:00:00,1800,24,0.0,0.0,0.0,0.0,0.0,0.0,29.0,516.0,835.0,737.0,875.0,878.0,427.0,233.0,229.0,122.0,343.0,225.0,58.0,158.0,1.0
2020-08-01 02:15:00,2600,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,98.0,695.0,1026.0,939.0,399.0,77.0,23.0,48.0,27.0,0.0,0.0,0.0
2020-08-01 02:15:00,1800,21,0.0,0.0,0.0,0.0,0.0,179.0,1836.0,6651.0,1558.0,5189.0,4299.0,2927.0,4686.0,5515.0,7683.0,2129.0,2134.0,1363.0,1141.0,767.0,116.0
2020-08-01 02:15:00,800,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,7.0,5.0,29.0,147.0,6211.0,1362.0,3618.0,237.0,2545.0,966.0
2020-08-01 02:15:00,1800,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,703.0,421.0,1116.0,712.0,526.0,266.0,55.0,8.0,5.0,18.0,2.0,0.0
2020-08-01 02:30:00,2600,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,454.0,226.0,111.0,47.0,0.0,73.0,58.0,0.0,1.0,0.0
2020-08-01 02:30:00,1800,21,0.0,0.0,0.0,0.0,0.0,11.0,538.0,4920.0,1730.0,7877.0,13403.0,4577.0,6861.0,6740.0,6981.0,3763.0,2280.0,2049.0,2866.0,2972.0,443.0
2020-08-01 02:30:00,800,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59.0,674.0,1144.0,9127.0,5455.0,2996.0,54.0,1596.0,765.0
2020-08-01 02:30:00,1800,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,118.0,162.0,451.0,527.0,375.0,34.0,282.0,48.0,1.0,0.0,0.0
2020-08-01 02:45:00,2600,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01 02:45:00,1800,21,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3498.0,1241.0,873.0,2600.0,4994.0,12788.0,15434.0,9301.0,2465.0,1383.0,1616.0,679.0,600.0,16.0
2020-08-01 02:45:00,800,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,13.0,65.0,579.0,9959.0,3851.0,2191.0,626.0,1153.0,436.0
2020-08-01 02:45:00,1800,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01 03:00:00,2600,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01 03:00:00,1800,21,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3930.0,2749.0,1637.0,2213.0,3297.0,10687.0,17706.0,12523.0,1872.0,1241.0,2232.0,896.0,243.0,6.0
2020-08-01 03:00:00,800,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,21.0,181.0,1068.0,4282.0,2100.0,2001.0,60.0,2221.0,809.0
2020-08-01 03:00:00,1800,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01 03:15:00,2600,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01 03:15:00,1800,21,0.0,0.0,0.0,0.0,0.0,13.0,64.0,3515.0,1861.0,1280.0,1146.0,3535.0,9300.0,10427.0,8438.0,2324.0,11593.0,2864.0,933.0,310.0,11.0
2020-08-01 03:15:00,800,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,215.0,618.0,31766.0,19802.0,18228.0,10356.0,1711.0,2239.0,82.0,20.0,0.0
